t,v,θ_{v}
0.355,1.319,-180.0
0.400,1.212,-176.1
0.444,0.777,-171.9
0.489,0.963,-176.7
0.533,1.183,-177.3
0.577,1.105,-174.3
0.622,1.128,-177.2
0.666,1.212,-176.1
0.711,1.241,-174.9
0.755,1.162,-173.2
0.799,1.138,-171.7
0.844,1.057,-171.0
0.888,1.062,-169.6
0.933,1.229,-169.7
0.977,1.306,-171.5
1.021,1.229,-169.7
1.066,1.061,-163.4
1.110,1.133,-166.0
1.155,1.267,-167.5
1.199,1.227,-164.4
1.244,1.227,-164.4
1.288,1.219,-165.7
1.332,1.340,-164.5
1.377,1.313,-164.2
1.421,1.234,-163.2
1.466,1.390,-161.6
1.510,1.277,-161.2
1.554,1.242,-155.1
